geometry,x,y
POINT (145.9919889 -17.595874),145.99199,-17.59587
POINT (145.9906437 -17.595095),145.99064,-17.5951
POINT (146.0043186 -17.7368453),146.00432,-17.73685
POINT (146.0561924 -17.7384769),146.05619,-17.73848
POINT (146.0058499 -17.9699311),146.00585,-17.96993
POINT (145.5391688 -16.7134035),145.53917,-16.7134
POINT (145.5286159 -16.7706747),145.52862,-16.77067
POINT (145.5267477 -16.7114891),145.52675,-16.71149
POINT (145.5625498 -16.7897456),145.56255,-16.78975
POINT (145.5594869 -17.1607222),145.55949,-17.16072
POINT (145.5614464 -17.1573073),145.56145,-17.15731
POINT (145.5630979 -17.1574074),145.5631,-17.15741
POINT (145.593462 -17.1554692),145.59346,-17.15547
POINT (145.626727 -17.1650707),145.62673,-17.16507
POINT (145.6119014 -17.1480172),145.6119,-17.14802
POINT (145.6112144 -17.1482802),145.61121,-17.14828
POINT (145.7265106 -17.3027366),145.72651,-17.30274
POINT (145.968765 -18.2450706),145.96876,-18.24507
POINT (145.9985483 -18.2751791),145.99855,-18.27518
POINT (145.9660977 -18.2632126),145.9661,-18.26321
POINT (145.9505333 -18.2524002),145.95053,-18.2524
POINT (145.9413477 -18.2613844),145.94135,-18.26138
POINT (145.8949493 -18.2520668),145.89495,-18.25207
POINT (146.0453786 -18.3273899),146.04538,-18.32739
POINT (146.0446621 -18.2916671),146.04466,-18.29167
POINT (145.9957435 -18.2884784),145.99574,-18.28848
POINT (146.0241514 -18.2832317),146.02415,-18.28323
POINT (145.8557826 -18.1113018),145.85578,-18.1113
POINT (145.7688493 -18.0914848),145.76885,-18.09148
