geometry,x,y
POINT (115.8501378 -33.2580287),115.85014,-33.25803
POINT (115.837751 -33.2912936),115.83775,-33.29129
POINT (115.8369604 -33.2896087),115.83696,-33.28961
POINT (115.8387695 -33.2875606),115.83877,-33.28756
POINT (115.8383028 -33.2893879),115.8383,-33.28939
POINT (115.9368728 -33.2749941),115.93687,-33.27499
POINT (115.8350247 -33.5937773),115.83502,-33.59378
POINT (115.8315113 -33.5873946),115.83151,-33.58739
POINT (115.8358581 -33.587393),115.83586,-33.58739
POINT (115.708157 -33.4889306),115.70816,-33.48893
POINT (115.7067173 -33.4887704),115.70672,-33.48877
POINT (115.7127804 -33.4793878),115.71278,-33.47939
POINT (115.7128024 -33.483161),115.7128,-33.48316
POINT (115.6931333 -33.488711),115.69313,-33.48871
POINT (115.6930984 -33.4793547),115.6931,-33.47935
POINT (115.6320986 -33.546704),115.6321,-33.5467
POINT (115.6581858 -33.5467488),115.65819,-33.54675
POINT (115.6320622 -33.5357146),115.63206,-33.53571
POINT (115.6356901 -33.5357384),115.63569,-33.53574
POINT (115.818446 -33.4978114),115.81845,-33.49781
POINT (115.818203 -33.4979389),115.8182,-33.49794
POINT (115.8184597 -33.4980616),115.81846,-33.49806
POINT (115.8078316 -33.5042737),115.80783,-33.50427
POINT (115.8087348 -33.5006455),115.80873,-33.50065
POINT (115.840152 -33.5086697),115.84015,-33.50867
POINT (115.8599577 -33.5129156),115.85996,-33.51292
POINT (115.759238 -33.4849456),115.75924,-33.48495
POINT (115.7440156 -33.4803658),115.74402,-33.48037
POINT (115.7595428 -33.475692),115.75954,-33.47569
POINT (115.7403843 -33.484851),115.74038,-33.48485
POINT (115.7245903 -33.5139387),115.72459,-33.51394
POINT (115.7402655 -33.4849428),115.74027,-33.48494
POINT (115.7404715 -33.4849383),115.74047,-33.48494
POINT (115.8536117 -33.5578835),115.85361,-33.55788
POINT (115.8551792 -33.5597545),115.85518,-33.55975
POINT (115.852816 -33.399649),115.85282,-33.39965
POINT (115.8360347 -33.3742253),115.83603,-33.37423
POINT (115.8459378 -33.3447039),115.84594,-33.3447
POINT (115.8480685 -33.3491472),115.84807,-33.34915
POINT (115.8518397 -33.3475878),115.85184,-33.34759
POINT (115.8595687 -33.4019518),115.85957,-33.40195
POINT (115.8606966 -33.3988314),115.8607,-33.39883
POINT (115.8661418 -33.3985121),115.86614,-33.39851
POINT (115.8657923 -33.4036166),115.86579,-33.40362
