Node1,Node2,weight,Resistance
64,65,0.5789473684210527,1.7272727272727273
64,84,0.942857142857143,1.0606060606060606
65,72,0.7674418604651162,1.3030303030303032
65,84,0.5593220338983051,1.7878787878787878
66,67,0.5409836065573771,1.8484848484848482
67,68,0.6734693877551022,1.4848484848484844
68,69,0.942857142857143,1.0606060606060606
68,70,0.6680161943319839,1.4969696969696968
70,71,0.8918918918918917,1.1212121212121215
72,73,0.7333333333333332,1.363636363636364
72,84,0.673469387755102,1.4848484848484849
73,91,0.5555555555555555,1.8000000000000003
73,92,0.8461538461538466,1.1818181818181812
73,84,0.540983606557377,1.8484848484848488
74,84,0.804878048780488,1.2424242424242422
74,75,0.4896142433234422,2.042424242424242
74,82,0.44000000000000006,2.2727272727272725
75,84,0.5555555555555556,1.8
75,76,0.6000000000000001,1.6666666666666665
76,84,0.8823529411764705,1.1333333333333335
76,91,0.8461538461538459,1.181818181818182
76,78,0.7971014492753623,1.2545454545454546
76,77,0.8461538461538463,1.1818181818181817
76,79,0.76036866359447,1.3151515151515152
76,80,0.7021276595744681,1.4242424242424243
76,82,0.5271565495207667,1.896969696969697
77,91,0.7333333333333333,1.3636363636363638
77,83,0.5205047318611987,1.9212121212121211
77,78,0.6962025316455697,1.4363636363636363
77,82,0.5830388692579505,1.7151515151515153
78,93,0.8048780487804876,1.2424242424242427
78,84,0.891891891891892,1.121212121212121
78,91,0.9322033898305084,1.0727272727272728
78,96,0.891891891891892,1.121212121212121
78,79,0.942857142857143,1.0606060606060606
78,82,0.46478873239436624,2.1515151515151514
78,80,0.595667870036101,1.678787878787879
78,83,0.673469387755102,1.4848484848484849
78,85,0.8048780487804876,1.2424242424242427
78,86,0.5409836065573771,1.8484848484848482
78,87,0.673469387755102,1.4848484848484849
78,98,0.76036866359447,1.3151515151515152
79,93,0.7674418604651162,1.3030303030303032
79,96,0.942857142857143,1.0606060606060606
79,82,0.452054794520548,2.212121212121212
79,80,0.5749128919860627,1.7393939393939395
79,85,0.8461538461538459,1.181818181818182
79,81,0.5374592833876222,1.8606060606060606
79,83,0.7021276595744681,1.4242424242424243
79,87,0.7021276595744681,1.4242424242424243
80,93,0.6962025316455697,1.4363636363636363
81,84,0.595667870036101,1.678787878787879
81,86,0.3775743707093822,2.648484848484848
82,83,0.37931034482758624,2.6363636363636362
82,86,0.33333333333333337,2.9999999999999996
82,85,0.4177215189873418,2.393939393939394
82,87,0.37931034482758624,2.6363636363636362
82,89,0.3473684210526315,2.8787878787878793
82,97,0.452054794520548,2.212121212121212
82,98,0.5445544554455445,1.8363636363636364
82,109,0.3473684210526315,2.8787878787878793
82,120,0.29307282415630553,3.412121212121212
82,125,0.4285714285714286,2.333333333333333
82,126,0.44000000000000006,2.2727272727272725
82,127,0.4074074074074074,2.4545454545454546
82,88,0.32673267326732675,3.0606060606060606
82,128,0.4074074074074074,2.4545454545454546
82,129,0.37078651685393266,2.6969696969696964
82,130,0.3402061855670103,2.9393939393939394
83,86,0.7333333333333335,1.3636363636363633
83,87,1.0,1.0
84,93,0.8918918918918917,1.1212121212121215
84,94,0.6470588235294118,1.5454545454545454
84,91,0.9537572254335261,1.0484848484848484
84,90,0.6179775280898876,1.6181818181818184
84,95,0.6226415094339623,1.606060606060606
84,96,0.804878048780488,1.2424242424242422
86,87,0.7333333333333335,1.3636363636363633
87,88,0.7021276595744681,1.4242424242424243
88,125,0.5789473684210527,1.7272727272727273
89,130,0.9428571428571433,1.06060606060606
89,97,0.5999999999999999,1.6666666666666672
89,125,0.6470588235294115,1.545454545454546
90,93,0.6680161943319839,1.4969696969696968
91,92,0.5045871559633028,1.9818181818181817
91,93,0.8549222797927459,1.16969696969697
91,95,0.642023346303502,1.5575757575757574
91,96,0.8375634517766498,1.1939393939393939
92,93,0.46478873239436624,2.1515151515151514
92,95,0.7021276595744681,1.4242424242424243
93,94,0.6,1.6666666666666667
93,95,0.5789473684210527,1.7272727272727273
93,96,0.7333333333333333,1.3636363636363638
97,98,0.7268722466960352,1.3757575757575757
97,125,0.891891891891892,1.121212121212121
98,130,0.4755043227665706,2.103030303030303
98,99,0.9537572254335261,1.0484848484848484
98,125,0.6680161943319839,1.4969696969696968
98,109,0.489614243323442,2.042424242424243
99,130,0.46478873239436624,2.1515151515151514
99,125,0.6470588235294118,1.5454545454545454
99,107,0.7746478873239436,1.290909090909091
100,109,0.6420233463035019,1.5575757575757578
100,125,0.9880239520958087,1.0121212121212118
100,101,0.7333333333333335,1.3636363636363633
100,108,0.7268722466960356,1.375757575757575
101,120,0.5789473684210527,1.7272727272727273
101,126,0.7081545064377682,1.412121212121212
101,127,0.8128078817733992,1.23030303030303
101,125,0.7399103139013453,1.3515151515151516
101,128,0.8128078817733992,1.23030303030303
101,129,0.9880239520958087,1.0121212121212118
101,102,0.7603686635944702,1.315151515151515
101,110,0.7081545064377682,1.412121212121212
101,111,0.6273764258555133,1.5939393939393938
101,112,0.7081545064377682,1.412121212121212
